Date,Stock Name,Ticker,Type,Quantity,Buy Price,Sell Price
2025-09-30,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,7,110.71,
2025-10-02,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,5,110.76,
2025-11-10,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,12,111.33,
2025-12-01,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,12,111.64,
2025-12-31,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,28,112.09,
2026-06-14,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,43,114.55,
2026-06-28,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,44,114.77,
2026-07-13,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,43,115.00,
2026-07-28,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,44,115.20,
2026-08-14,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,BUY,16,115.50,
2025-09-30,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,2,733.00,
2025-10-02,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,1,735.00,
2025-11-10,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,745.22,
2025-12-01,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,744.00,
2025-12-31,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,745.92,
2026-06-14,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,2,776.00,
2026-06-21,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,784.41,
2026-06-28,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,774.54,
2026-07-06,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,783.66,
2026-07-13,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,2,774.62,
2026-07-20,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,4,783.00,
2026-07-28,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,782.47,
2026-08-07,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,807.50,
2026-08-14,Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES.NS,BUY,3,806.98,
